,_id,date,type,location,value,sensorID
6154,62950672540a307c7e140304,2022-05-30 20:01:22.058,ambient humidity,outdoor,30.799999237060547,22
6155,62950676540a307c7e140305,2022-05-30 20:01:26.348,ambient humidity,indoor,44.099998474121094,27
6156,6295067f540a307c7e140306,2022-05-30 20:01:35.690,ambient temperature,outdoor,24.399999618530273,22
6157,62950686540a307c7e140307,2022-05-30 20:01:42.506,ambient temperature,indoor,22.0,27
6158,62950688540a307c7e140308,2022-05-30 20:01:44.475,ground temperature,indoor,25.375,325a0f1e64ff
6159,6295068a540a307c7e140309,2022-05-30 20:01:46.395,ground temperature,indoor,22.0625,32360c1e64ff
6160,629522837b795bc569496239,2022-05-30 22:01:07.899,ground humidity,indoor,0.2151,0
6161,629522897b795bc56949623a,2022-05-30 22:01:13.538,ground humidity,indoor,0.2209,1
6162,6295228d7b795bc56949623b,2022-05-30 22:01:17.822,ambient humidity,outdoor,40.400001525878906,22
6163,629522947b795bc56949623c,2022-05-30 22:01:24.629,ambient humidity,indoor,50.400001525878906,27
6164,629522967b795bc56949623d,2022-05-30 22:01:26.375,ambient temperature,outdoor,19.399999618530273,22
6165,6295229a7b795bc56949623e,2022-05-30 22:01:30.650,ambient temperature,indoor,19.100000381469727,27
6166,6295229c7b795bc56949623f,2022-05-30 22:01:32.555,ground temperature,indoor,21.9375,325a0f1e64ff
6167,6295229e7b795bc569496240,2022-05-30 22:01:34.475,ground temperature,indoor,20.0625,32360c1e64ff
6168,62953ea4e1ae02023c1c4b90,2022-05-31 00:01:08.048,ground humidity,indoor,0.219,0
6169,62953ea9e1ae02023c1c4b91,2022-05-31 00:01:13.632,ground humidity,indoor,0.2239,1
6170,62953eabe1ae02023c1c4b92,2022-05-31 00:01:15.388,ambient humidity,outdoor,46.20000076293945,22
6171,62953eb4e1ae02023c1c4b93,2022-05-31 00:01:24.724,ambient humidity,indoor,56.099998474121094,27
6172,62953eb9e1ae02023c1c4b94,2022-05-31 00:01:29.012,ambient temperature,outdoor,18.0,22
6173,62953ebae1ae02023c1c4b95,2022-05-31 00:01:30.840,ambient temperature,indoor,17.5,27
6174,62953ebce1ae02023c1c4b96,2022-05-31 00:01:32.715,ground temperature,indoor,20.375,325a0f1e64ff
6175,62953ebee1ae02023c1c4b97,2022-05-31 00:01:34.635,ground temperature,indoor,18.6875,32360c1e64ff
6176,62955ac4006842a5652e9f8e,2022-05-31 02:01:08.066,ground humidity,indoor,0.2229,0
6177,62955ac9006842a5652e9f8f,2022-05-31 02:01:13.657,ground humidity,indoor,0.2219,1
6178,62955acb006842a5652e9f90,2022-05-31 02:01:15.406,ambient humidity,outdoor,51.599998474121094,22
6179,62955acf006842a5652e9f91,2022-05-31 02:01:19.683,ambient humidity,indoor,61.5,27
6180,62955ad3006842a5652e9f92,2022-05-31 02:01:23.964,ambient temperature,outdoor,16.200000762939453,22
6181,62955ad5006842a5652e9f93,2022-05-31 02:01:25.709,ambient temperature,indoor,15.600000381469727,27
6182,62955ad7006842a5652e9f94,2022-05-31 02:01:27.595,ground temperature,indoor,18.8125,325a0f1e64ff
6183,62955ad9006842a5652e9f95,2022-05-31 02:01:29.515,ground temperature,indoor,17.5,32360c1e64ff
