
mar mar 22 20:01:36 CET 2022 success {'type': 'ground humidity', 'value': 0.306, 'sensorID': 0, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 20, 1, 7, 672839), '_id': ObjectId('623a1cf3a9372cace819b727')} {'type': 'ground humidity', 'value': 0.8172, 'sensorID': 1, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 20, 1, 13, 422703), '_id': ObjectId('623a1cf9a9372cace819b728')} {'type': 'ambient humidity', 'value': 90.4000015258789, 'sensorID': 22, 'location': 'outdoor', 'date': datetime.datetime(2022, 3, 22, 20, 1, 20, 232208), '_id': ObjectId('623a1d00a9372cace819b729')} {'type': 'ambient humidity', 'value': 96.69999694824219, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 20, 1, 21, 978282), '_id': ObjectId('623a1d01a9372cace819b72a')} {'type': 'ambient temperature', 'value': 9.5, 'sensorID': 22, 'location': 'outdoor', 'date': datetime.datetime(2022, 3, 22, 20, 1, 26, 257828), '_id': ObjectId('623a1d06a9372cace819b72b')} {'type': 'ambient temperature', 'value': 10.600000381469727, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 20, 1, 30, 529424), '_id': ObjectId('623a1d0aa9372cace819b72c')} {'type': 'ground temperature', 'value': 12.4375, 'sensorID': '325a0f1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 20, 1, 34, 55594), '_id': ObjectId('623a1d0ea9372cace819b72d')} {'type': 'ground temperature', 'value': 10.75, 'sensorID': '32360c1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 20, 1, 36, 55637), '_id': ObjectId('623a1d10a9372cace819b72e')}

mar mar 22 22:01:34 CET 2022 success {'type': 'ground humidity', 'value': 0.3353, 'sensorID': 0, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 22, 1, 8, 43825), '_id': ObjectId('623a39149c79100e9ca63f43')} {'type': 'ground humidity', 'value': 0.8192, 'sensorID': 1, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 22, 1, 13, 687849), '_id': ObjectId('623a39199c79100e9ca63f44')} {'type': 'ambient humidity', 'value': 91.4000015258789, 'sensorID': 22, 'location': 'outdoor', 'date': datetime.datetime(2022, 3, 22, 22, 1, 15, 436086), '_id': ObjectId('623a391b9c79100e9ca63f45')} {'type': 'ambient humidity', 'value': 96.80000305175781, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 22, 1, 19, 717260), '_id': ObjectId('623a391f9c79100e9ca63f46')} {'type': 'ambient temperature', 'value': 8.399999618530273, 'sensorID': 22, 'location': 'outdoor', 'date': datetime.datetime(2022, 3, 22, 22, 1, 26, 524330), '_id': ObjectId('623a39269c79100e9ca63f47')} {'type': 'ambient temperature', 'value': 9.800000190734863, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 22, 1, 28, 276495), '_id': ObjectId('623a39289c79100e9ca63f48')} {'type': 'ground temperature', 'value': 11.25, 'sensorID': '325a0f1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 22, 1, 31, 815670), '_id': ObjectId('623a392b9c79100e9ca63f49')} {'type': 'ground temperature', 'value': 9.625, 'sensorID': '32360c1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 22, 1, 33, 735605), '_id': ObjectId('623a392d9c79100e9ca63f4a')}

mié mar 23 00:01:34 CET 2022 success {'type': 'ground humidity', 'value': 0.393, 'sensorID': 0, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 0, 1, 7, 779916), '_id': ObjectId('623a5533f7abe1f135f1ef6a')} {'type': 'ground humidity', 'value': 0.8182, 'sensorID': 1, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 0, 1, 14, 51346), '_id': ObjectId('623a553af7abe1f135f1ef6b')} {'type': 'ambient humidity', 'value': 94.0, 'sensorID': 22, 'location': 'outdoor', 'date': datetime.datetime(2022, 3, 23, 0, 1, 18, 325456), '_id': ObjectId('623a553ef7abe1f135f1ef6c')} {'type': 'ambient humidity', 'value': 97.5, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 0, 1, 20, 77757), '_id': ObjectId('623a5540f7abe1f135f1ef6d')} {'type': 'ambient temperature', 'value': 7.699999809265137, 'sensorID': 22, 'location': 'outdoor', 'date': datetime.datetime(2022, 3, 23, 0, 1, 21, 823480), '_id': ObjectId('623a5541f7abe1f135f1ef6e')} {'type': 'ambient temperature', 'value': 9.199999809265137, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 0, 1, 28, 630127), '_id': ObjectId('623a5548f7abe1f135f1ef6f')} {'type': 'ground temperature', 'value': 10.5, 'sensorID': '325a0f1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 0, 1, 32, 135835), '_id': ObjectId('623a554cf7abe1f135f1ef70')} {'type': 'ground temperature', 'value': 9.0625, 'sensorID': '32360c1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 0, 1, 34, 55664), '_id': ObjectId('623a554ef7abe1f135f1ef71')}

mié mar 23 02:01:27 CET 2022 success {'type': 'ground humidity', 'value': 0.6305, 'sensorID': 0, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 2, 1, 7, 136502), '_id': ObjectId('623a715362b11ab60b7923a2')} {'type': 'ground humidity', 'value': 0.828, 'sensorID': 1, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 2, 1, 12, 823568), '_id': ObjectId('623a715862b11ab60b7923a3')} {'type': 'ambient humidity', 'value': 95.80000305175781, 'sensorID': 22, 'location': 'outdoor', 'date': datetime.datetime(2022, 3, 23, 2, 1, 14, 570300), '_id': ObjectId('623a715a62b11ab60b7923a4')} {'type': 'ambient humidity', 'value': 98.0, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 2, 1, 16, 317847), '_id': ObjectId('623a715c62b11ab60b7923a5')} {'type': 'ambient temperature', 'value': 7.099999904632568, 'sensorID': 22, 'location': 'outdoor', 'date': datetime.datetime(2022, 3, 23, 2, 1, 20, 594531), '_id': ObjectId('623a716062b11ab60b7923a6')} {'type': 'ambient temperature', 'value': 8.600000381469727, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 2, 1, 22, 347320), '_id': ObjectId('623a716262b11ab60b7923a7')} {'type': 'ground temperature', 'value': 9.875, 'sensorID': '325a0f1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 2, 1, 25, 815774), '_id': ObjectId('623a716562b11ab60b7923a8')} {'type': 'ground temperature', 'value': 8.6875, 'sensorID': '32360c1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 2, 1, 27, 735608), '_id': ObjectId('623a716762b11ab60b7923a9')}

mié mar 23 04:01:31 CET 2022 success {'type': 'ground humidity', 'value': 0.4018, 'sensorID': 0, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 4, 1, 7, 304784), '_id': ObjectId('623a8d7313d0d56cce694df3')} {'type': 'ground humidity', 'value': 0.8368, 'sensorID': 1, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 4, 1, 12, 962135), '_id': ObjectId('623a8d7813d0d56cce694df4')} {'type': 'ambient humidity', 'value': 97.0, 'sensorID': 22, 'location': 'outdoor', 'date': datetime.datetime(2022, 3, 23, 4, 1, 14, 709125), '_id': ObjectId('623a8d7a13d0d56cce694df5')} {'type': 'ambient humidity', 'value': 98.0999984741211, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 4, 1, 16, 454027), '_id': ObjectId('623a8d7c13d0d56cce694df6')} {'type': 'ambient temperature', 'value': 7.0, 'sensorID': 22, 'location': 'outdoor', 'date': datetime.datetime(2022, 3, 23, 4, 1, 20, 726275), '_id': ObjectId('623a8d8013d0d56cce694df7')} {'type': 'ambient temperature', 'value': 8.199999809265137, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 4, 1, 25, 121081), '_id': ObjectId('623a8d8513d0d56cce694df8')} {'type': 'ground temperature', 'value': 9.375, 'sensorID': '325a0f1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 4, 1, 28, 615569), '_id': ObjectId('623a8d8813d0d56cce694df9')} {'type': 'ground temperature', 'value': 8.25, 'sensorID': '32360c1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 4, 1, 30, 615543), '_id': ObjectId('623a8d8a13d0d56cce694dfa')}

mié mar 23 06:01:31 CET 2022 success {'type': 'ground humidity', 'value': 0.3431, 'sensorID': 0, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 6, 1, 7, 621386), '_id': ObjectId('623aa993aa19521625f8e162')} {'type': 'ground humidity', 'value': 0.8446, 'sensorID': 1, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 6, 1, 13, 432780), '_id': ObjectId('623aa999aa19521625f8e163')} {'type': 'ambient humidity', 'value': 95.5999984741211, 'sensorID': 22, 'location': 'outdoor', 'date': datetime.datetime(2022, 3, 23, 6, 1, 15, 180018), '_id': ObjectId('623aa99baa19521625f8e164')} {'type': 'ambient humidity', 'value': 97.9000015258789, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 6, 1, 16, 928347), '_id': ObjectId('623aa99caa19521625f8e165')} {'type': 'ambient temperature', 'value': 7.300000190734863, 'sensorID': 22, 'location': 'outdoor', 'date': datetime.datetime(2022, 3, 23, 6, 1, 23, 733670), '_id': ObjectId('623aa9a3aa19521625f8e166')} {'type': 'ambient temperature', 'value': 8.399999618530273, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 6, 1, 25, 478762), '_id': ObjectId('623aa9a5aa19521625f8e167')} {'type': 'ground temperature', 'value': 9.125, 'sensorID': '325a0f1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 6, 1, 29, 15586), '_id': ObjectId('623aa9a9aa19521625f8e168')} {'type': 'ground temperature', 'value': 8.1875, 'sensorID': '32360c1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 6, 1, 30, 935721), '_id': ObjectId('623aa9aaaa19521625f8e169')}

mié mar 23 08:01:25 CET 2022 success {'type': 'ground humidity', 'value': 0.3627, 'sensorID': 0, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 8, 1, 7, 518045), '_id': ObjectId('623ac5b35a2f2b62356e7437')} {'type': 'ground humidity', 'value': 0.8348, 'sensorID': 1, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 8, 1, 13, 105514), '_id': ObjectId('623ac5b95a2f2b62356e7438')} {'type': 'ambient humidity', 'value': 92.5, 'sensorID': 22, 'location': 'outdoor', 'date': datetime.datetime(2022, 3, 23, 8, 1, 14, 861000), '_id': ObjectId('623ac5ba5a2f2b62356e7439')} {'type': 'ambient humidity', 'value': 95.69999694824219, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 8, 1, 16, 607101), '_id': ObjectId('623ac5bc5a2f2b62356e743a')} {'type': 'ambient temperature', 'value': 8.100000381469727, 'sensorID': 22, 'location': 'outdoor', 'date': datetime.datetime(2022, 3, 23, 8, 1, 18, 352171), '_id': ObjectId('623ac5be5a2f2b62356e743b')} {'type': 'ambient temperature', 'value': 8.800000190734863, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 8, 1, 20, 96274), '_id': ObjectId('623ac5c05a2f2b62356e743c')} {'type': 'ground temperature', 'value': 9.0, 'sensorID': '325a0f1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 8, 1, 23, 575638), '_id': ObjectId('623ac5c35a2f2b62356e743d')} {'type': 'ground temperature', 'value': 8.5, 'sensorID': '32360c1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 23, 8, 1, 25, 495658), '_id': ObjectId('623ac5c55a2f2b62356e743e')}

